id,name,description,address,city,area,latitude,longitude,phone,website
71b6226c-c988-5e0c-bce6-1b92b6b4d211,Travel East Banani,,25b Rd No 18,,,23.7959592,90.4051517,,
8c4db453-1743-5edf-8c1c-4b2861841809,Pan Tao Thai Cuisine,,"House No 42, Block- E, Road No 1",,,23.7920687,90.4080063,,
ace474c2-35ba-50ef-914f-9818df21f6fc,Texas Flame,,"House 25,8th Flo",,,23.790139,90.4081749,,
1214e34e-64b9-522e-90ca-f445019afd58,Takeout Banani,,"Plot No. 35, Abed",,,23.7931073,90.4057487,,
1b9c6bcd-8cf2-5bc7-af68-5e6612aeecf2,Herfy - Banani,,"Block C, Plot 52, Ground Floor, Ro",,,23.7912333,90.4020105,,
daf5744e-c698-513d-a840-a79dcd317f8a,Alfresco Banani,,"Tower-A, House",,,23.7935128,90.4037559,,
a303c5b7-75d4-5e12-886a-0c1dc413d769,Tu do Restaurant,,House- 59 Road No.7,,,23.7898093,90.4036356,,
97cf6bd8-16d2-56fc-aee7-08dfb7eee8b7,Steakout,,"5th Floor, Bay's B",,,23.7912658,90.4017411,,
1433170f-5fd9-5eca-a92e-27234b03b4c4,VOCA SILK,,"House: 61, Road: 15, Block: D",,,23.7915003,90.4058012,,
466c03b7-7c41-5613-a003-dcf4e3fea6c8,Amrit restaurant,,21 Road No. 17,,,23.7932824,90.4043256,,
ad37c71a-2496-563d-a1bd-eec8eb1972cf,Ruen Busaba,,"Block D, House 62 Rd 10",,,23.7913462,90.4061205,,
fd81bf05-aea8-599e-8fd2-234e79331966,The Garden Kitchen at Sheraton Dhaka,,44 Kemal Ataturk,,,23.7930616,90.4060697,,
a1e3d73b-66be-51e0-8ae3-e5834f817228,Haze,,"Green Delux, 67/D Road No. 11",,,23.7905017,90.407793,,
e8737f31-7a56-55c3-8d19-d478dd36887e,Boithok,,18 Rd No 4,,,23.7897829,90.4011234,,
b2c16a34-8c93-5ee5-8a31-9a9e47b9d511,Barcode Cafe,,House 55/B Rd N,,,23.7945957,90.4059036,,
784976f5-73e1-5bc2-aef9-fd9a3a4a8393,Chillox Banani,,"12 and 11, Intersection of road, 1st",,,23.790192,90.4080726,,
518f4b21-2f0e-511f-a9e9-9d8a859d2583,Terra Bistro (Banani),,"Block F, 52, 1213 Rd No. 11",,,23.7907791,90.4034878,,
f4b09c2b-2d3e-55b1-93e3-cd2680a5f845,dürüm - Turkish Doner (Banani),,"Floor House No. 84, 84 Skylark Ma",,,23.7908963,90.4041738,,
35de5a8a-b98f-56ad-a812-b9edd8d5bf43,Ginza,,"4th Floor, house",,,23.7901862,90.408032,,
970d89a1-db07-5428-ba99-112512d6dd82,Tarka,,Block H house 27,,,23.7899248,90.40814,,
004f35a2-d838-5355-b1a4-ba1a2d9debc3,VAULT | Modern Asian Restaurant,,Autograph Tower,,,23.7945249,90.404024,,
82e45ee8-b875-5bb3-9f41-f96ae62993dc,Khana's Banani,,"Block-E, 2nd Floor, House-116 Rd",,,23.7904551,90.408128,,
9da6035a-ddeb-5607-a0cf-5719cb6f44a7,Turkey Bliss,,"Plot 1, Level 2, Block F Road No. 1",,,23.7910913,90.4016749,,
c00ee887-2603-5d58-bc6c-eb6e1b0b1bd6,HAKKA DHAKA,,Navana Rowshan,,,23.7900594,90.4091277,,
c429349b-f64a-555d-8874-407464387289,Boomers Cafe,,"2nd Floor, A R Tower, 24 Kemal Ata",,,23.79378,90.4043527,,
0098bee2-5c4a-560a-aeb3-b43f6fb4c079,Cheez Banani,,"Block H, Navana",,,23.7900414,90.4091581,,
a7582b68-1b51-53ff-84a9-82e462cc0771,Jassica Spa,,"QCR3+GHX, Rd No 13A",,,23.7913708,90.4039814,,
74176171-7242-5442-9217-6cf5a35866c9,DUNE DHAKA,,"Block H, House 2",,,23.7899196,90.4081695,,
3662f421-c3e0-5307-a2b0-ef514005442b,KFD Express,,"1st Floor, House",,,23.7930596,90.4073008,,
03252fec-ccc5-5347-ae08-6bd21604bf50,Shiraj Chuigosto- Banani,,"Road-8, House-2",,,23.7929483,90.4043784,,
5c42ef60-385d-5e0c-9473-b03bae35052d,Cha Bagan,,55b Rd No # 21,,,23.7946024,90.4058933,,
fcae72fd-9490-5894-9803-892cab008bf0,Cilantro,,"House-52, Road Laid-back eatery",,,23.7894036,90.408207,,
e647c1e1-04b6-57fa-afec-0c5dc5378024,Food Engineering Banani,,"House 25, Level",,,23.7901573,90.4080679,,
33683444-5f2f-583b-8662-c70ae4073354,TRIBE Rooftop Lounge,,"Block F, 52 Rd No. 11",,,23.7907678,90.4035116,,
8cf4ecb3-1575-5dec-8545-57595dce573b,Coal & Coffee,,46 Kemal Ataturk Ave,,,23.7934925,90.4067037,,
ceb11e12-4937-5602-9464-39d4902d95a2,Ciao Dhaka,,House 18 Rd No,,,23.7898768,90.4068448,,
595e47b7-97fe-57c9-931e-8624eda7c5ba,Kindred Food Garden Banani,,"Block - C, Plot - 93 Road No. 6",,,23.7915925,90.402745,,
2b95d5ca-0666-50c3-9a5a-ca0d571f46cc,Burger King Banani,,"H.No: 104, 104 R",,,23.7910748,90.4035312,,
f6fdaa12-d3dd-5fc4-93a5-5bd4ec5fcdbd,Manzar Banani,,"House-123Rd No. 11, Urban Spoon, 12th Floor (Rooftop",,,23.7936832,90.4053768,,
1275d7ad-ed0e-5f61-8727-a325909e035f,Domino's Pizza Banani,,House-76/B Rd No. 11,,,23.7900565,90.4107216,,
